site_name,pub_hosp_ind,current_peer_group,lat,long,cluster
Reservoir Private Hospital Day Procedure Centre,Private,Endoscopy centres,-37.71738537,144.9978706,3
St Vincents Private Hospital Fitzroy,Private,Private acute group B hospitals,-37.80778615,144.9760562,3
Bellbird Private Hospital [Blackburn],Private,Private acute group D hospitals,-37.8331942,145.1558553,5
Rosebud Day Hospital,Private,Mixed day procedure hospitals,-38.36194063,144.8901488,12
Noble Park Endoscopy Centre,Private,Endoscopy centres,-37.9671017,145.1896656,11
Bayside Endoscopy Day Hospital,Private,Endoscopy centres,-38.14328096,145.1322883,1
St Vincents Private Hospital Werribee,Private,Private acute group B hospitals,-37.88773612,144.7016297,3
Epworth Rehabilitation Camberwell,Private,Private rehabilitation hospitals,-37.84584611,145.0541048,3
Epworth Hawthorn,Private,Private rehabilitation hospitals,-37.82185315,145.0225925,3
Epworth Cliveden,Private,Private acute group D hospitals,-37.8156804,144.9874795,3
Wangaratta Private Hospital,Private,Private acute group D hospitals,-36.34890755,146.3125361,10
"Melbourne Private Hospital, The [Parkville]",Private,Private acute group A hospitals,-37.7982178,144.9574519,3
Peninsula Private Hospital [Frankston],Private,Private acute group B hospitals,-38.15786435,145.1691421,12
Western Private Hospital [Footscray],Private,Private acute group C hospitals,-37.79319115,144.8858742,3
Dorset Private Hospital (Pascoe Vale),Private,Private rehabilitation hospitals,-37.72324985,144.9477123,3
Epworth Rehabilitation Brighton,Private,Private rehabilitation hospitals,-37.91345226,145.002935,1
Linacre Private Hospital,Private,Private acute group D hospitals,-37.9426807,145.0033437,1
St Vincents Private Hospital Kew,Private,Other acute specialised hospitals,-37.80628431,145.0240182,3
Springvale Endoscopy Services,Private,Endoscopy centres,-37.94930729,145.1499368,11
Warringal Private Hospital [Heidelberg],Private,Private acute group B hospitals,-37.75485435,145.0609061,3
Sir John Monash Private Hospital [Clayton],Private,Private acute group B hospitals,-37.9186257,145.1214718,11
"Albert Road Clinic, The [South Melbourne]",Private,Private acute psychiatric hospitals,-37.83357268,144.9713994,1
Melbourne Endoscopy Group Day Procedure Centre,Private,Endoscopy centres,-37.84437759,144.979384,1
"Melbourne Eastern Private Hospital, The",Private,Private acute group D hospitals,-37.85524252,145.2686593,5
Melbourne Day Surgery,Private,Eye surgery centres,-37.73045045,145.060268,1
New Age Dental,Private,Unpeered hospitals,-37.68309521,145.0731473,3
Kew Endoscopy Centre,Private,Endoscopy centres,-37.79446728,145.0625981,3
Vision Day Surgery Eastern,Private,Eye surgery centres,-37.81755384,145.1195096,5
Windsor Avenue Day Surgery,Private,Mixed day procedure hospitals,-37.95116753,145.149338,11
Mornington Endoscopy,Private,Endoscopy centres,-38.22750741,145.0440901,12
North Eastern Rehabilitation Centre,Private,Private rehabilitation hospitals,-37.7635299,145.0310362,3
Maryvale Private Hospital [Morwell],Private,Private acute group D hospitals,-38.21584495,146.4186925,4
Donvale Rehabilitation Hospital,Private,Private rehabilitation hospitals,-37.7897195,145.1715324,5
St Kilda Day Hospital,Private,Mixed day procedure hospitals,-37.87294515,144.9820435,3
Manningham Private Hospital,Private,Mixed day procedure hospitals,-37.7873942,145.13282040000001,3
East Melbourne Day Procedure Centre (Fertility Control Clinic),Private,Fertility clinics,-37.81590298,144.9862254,3
St Albans Endoscopy Centre,Private,Endoscopy centres,-37.74383224,144.7796058,3
South Yarra Medical Clinic,Private,Unpeered hospitals,-37.9299711,145.3583811,3
Hampton Day Hospital,Private,Mixed day procedure hospitals,-37.93281309,145.0327921,1
Heyfield Hospital Inc,Private,Very small hospitals,-37.97617364,146.784063,4
Clinic of Cosmetic Medicine,Private,Unpeered hospitals,-37.7046916,144.9168072,3
Goonawarra Day Hospital,Private,Mixed day procedure hospitals,-37.57975367,144.7499602,3
Stonnington Day Surgery,Private,Plastic & reconstructive surgery centres,-37.86342489,145.0394976,1
Mallee Track - Sea Lake,Public,Very small hospitals,-35.50075156,142.8575977,2
St John of God Frankson Rehabilitation Hospital,Private,Private rehabilitation hospitals,-38.15273111,145.1557154,12
"Melbourne Clinic Private Hospital, The [Richmond]",Private,Private acute psychiatric hospitals,-37.81451069,144.998943,14
Wyndham Clinic,Private,Very small hospitals,-37.86241425,144.710365,3
Bayside Day Procedure and Specialist Centre,Private,Endoscopy centres,-38.1479404,145.1433602,12
Nunyara Centre,Private,Private acute psychiatric hospitals,-38.05995113,145.4113204,11
Hyperbaric Health Bundoora,Private,Hyperbaric health centres,-37.71615841,145.0444085,3
South Eastern Private Hospital [Noble Park],Private,Endoscopy centres,-37.9663045,145.1920296,11
Eastside Endoscopy Centre,Private,Private acute group B hospitals,-37.81957442,145.2276566,5
Epworth Eastern Hospital,Private,Dialysis clinics,-37.81106574,145.1209863,5
Diaverum Diamond Valley Dialysis Clinic,Private,Dialysis clinics,-37.70539929,145.1077739,3
Northpark Private Hospital [Bundoora],Private,Private acute group C hospitals,-37.6914319,145.0619596,3
Heidelberg Endoscopy and Day Surgery Centre,Private,Endoscopy centres,-37.73041396,145.0604045,3
Fresenius Medical Care Sunshine Dialysis Clinic,Private,Endoscopy centres,-37.760919,144.8161774,3
The Hader Clinic,Private,Unpeered hospitals,-37.74078322,144.8993523,3
Greensborough Day Surgery,Private,Mixed day procedure hospitals,-37.70380697,145.1061867,3
Arrow Health,Private,Unpeered hospitals,-37.85590922,145.0209544,3
DayHab,Private,Unpeered hospitals,-37.90040282,145.1440741,3
Habitat Therapeutics,Private,Unpeered hospitals,-38.17074102,144.3996074,9
Darebin Endoscopy Services,Private,Endoscopy centres,-37.78086522,145.0173983,3
Westpoint Endoscopy Day Hospital,Private,Endoscopy centres,-37.8773573,144.6797334,3
Bundoora Endoscopy,Private,Endoscopy centres,-37.6922061,145.0618813,3
Toorak-Malvern Day Surgery Centre,Private,Mixed day procedure hospitals,-37.86346724,145.0393581,3
Marie Stopes International Maroondah,Private,Reproductive health centres,-37.80887769,145.2886811,5
Frances Perry Private Hospital [Carlton],Private,Women's hospitals,-37.79876014,144.9549263,3
Rosebud Surgicentre,Private,Eye surgery centres,-38.36179693,144.8890266,12
Vision Day Surgery Camberwell,Private,Eye surgery centres,-37.83219318,145.0555356,5
Dandenong Eye Clinic,Private,Endoscopy centres,-37.9623228,145.1533309,11
Digestive Health Centre,Private,Endoscopy centres,-37.977369,145.2164418,11
Keilor Private,Private,Private acute group D hospitals,-37.7411023,144.863827,3
Ringwood Private Hospital,Private,Private acute group D hospitals,-37.8114079,145.2437099,5
Werribee Endoscopy,Private,Private acute group C hospitals,-37.87727302,144.6796276,3
Shepparton Private Hospital,Private,Private acute group C hospitals,-36.35913925,145.4109224,8
Chesterville Day Hospital [Cheltenham],Private,Mixed day procedure hospitals,-37.9604882,145.056943,1
"Victorian Rehabilitation Centre, The [Glen Waverley]",Private,Private rehabilitation hospitals,-37.89815878,145.1621191,5
Waverley Endoscopy Suites [Mt Waverley],Private,Endoscopy centres,-37.87891932,145.1460686,1
Corymbia House,Private,Plastic & reconstructive surgery centres,-37.97704592,145.2169958,11
Frankston Private Hospital,Private,Mixed day procedure hospitals,-38.15473595,145.132998,12
Masada Private Hospital [East St Kilda],Private,Private acute group D hospitals,-37.869627,145.0032964,1
Mildura Private Hospital,Private,Private acute group D hospitals,-34.18483415,142.1457014,13
Specialist Centre Docklands,Private,Mixed day procedure hospitals,-37.81441383,144.941251,3
Jolimont Endoscopy [East Melbourne],Private,Endoscopy centres,-37.81135556,144.9839362,3
Delmont Private Hospital [Burwood],Private,Private acute psychiatric hospitals,-37.85680868,145.0939584,3
Forest Hill Dialysis Centre,Private,Dialysis clinics,-37.83596677,145.1664975,5
Bayswater Day Procedure Centre,Private,Endoscopy centres,-37.84373682,145.2488469,5
Western Gastroenterology Services [Footscray],Private,Mixed day procedure hospitals,-37.79188829,144.8851776,3
Imaging@Olympic Park,Private,Unpeered hospitals,-37.82471598,144.9847188,1
Altona Endoscopy,Private,Endoscopy centres,-37.8691739,144.8287598,3
East Melbourne Specialist Day Hospital,Private,Fertility clinics,-37.809648,144.9832448,3
Sydenham Endoscopy and Day Surgery,Private,Endoscopy centres,-37.69303767,144.758528,3
PANCH Day Surgery Centre,Private,Mixed day procedure hospitals,-37.74652412,145.0083248,3
The Glen Endoscopy,Private,Endoscopy centres,-37.8846595,145.1651723,5
Ballarat Surgicentre,Private,Mixed day procedure hospitals,-37.54263337,143.8518411,7
Melbourne Medibrain and Medisleep Centre,Private,Unpeered hospitals,-37.86902951,145.0187543,3
Ballarat Day Procedure Centre,Private,Mixed day procedure hospitals,-37.54067777,143.8321867,7
Mitcham Private Hospital,Private,Private acute group C hospitals,-37.81030805,145.1947482,5
Casey Day Procedure Centre,Private,Mixed day procedure hospitals,-38.01103253,145.3163539,11
Glen Eira Day Surgery,Private,Mixed day procedure hospitals,-37.90029852,145.0192569,1
Coburg Endoscopy Centre,Private,Endoscopy centres,-37.7450487,144.9649021,3
John Fawkner - Moreland Private Hospital,Private,Private acute group A hospitals,-37.7547397,144.9588406,3
"Southern Eye Centre, Day Surgery & Laser Clinic [Frankston]",Private,Eye surgery centres,-38.14599804,145.1321239,12
Glenferrie Private Hospital,Private,Other acute specialised hospitals,-37.81921309,145.0314709,1
Vision Day Surgery Footscray,Private,Eye surgery centres,-37.80046848,144.8949371,3
Windsor Private Hospital,Private,Private acute group B hospitals,-37.8558187,144.9980782,3
Northwest Day Hospital,Private,Endoscopy centres,-37.77085719,144.9093353,3
Victoria Parade Surgery Centre,Private,Eye surgery centres,-37.8084973,144.9749205,3
Sunshine Private Day Surgery,Private,Mixed day procedure hospitals,-37.76148636,144.8157167,3
Jessie McPherson Private Hospital [Clayton],Private,Private acute group B hospitals,-37.9208228,145.1224428,11
Glen Iris Private,Private,Endoscopy centres,-37.8568969,145.0940058,1
Peninsula Oncology Centre,Private,Haematology & oncology clinics,-38.15450768,145.1328989,12
Specialist Surgicentre Geelong,Private,Oral & maxillofacial surgery centres,-38.14892705,144.3666437,9
Bentleigh Surgicentre,Private,Plastic & reconstructive surgery centres,-37.92000899,145.0412484,1
Bendigo Day Surgery,Private,Mixed day procedure hospitals,-36.76220435,144.2615466,2
Malvern Dialysis Centre,Private,Dialysis clinics,-37.85122747,145.0307669,1
